2020-08-13 10:52:47 WARNING  无法在joox中搜索 ——> 喉咙唱的沙哑...
2020-08-13 10:52:50 INFO     正在从netease下载 ——> netease_喉咙唱的沙哑...
2020-08-13 10:52:52 INFO     成功从netease下载到了 ——> netease_喉咙唱的沙哑...
2020-08-13 10:53:01 INFO     正在kugou中搜索 ——> 皆可...
2020-08-13 10:53:02 INFO     正在kuwo中搜索 ——> 皆可...
2020-08-13 10:53:03 INFO     正在netease中搜索 ——> 皆可...
2020-08-13 10:53:24 INFO     正在qq中搜索 ——> 皆可...
2020-08-13 10:53:26 INFO     正在migu中搜索 ——> 皆可...
2020-08-13 10:53:26 INFO     正在xiami中搜索 ——> 皆可...
2020-08-13 10:53:26 INFO     正在joox中搜索 ——> 皆可...
2020-08-13 10:53:49 INFO     正在从joox下载 ——> joox_皆可...
2020-08-13 10:53:53 INFO     成功从joox下载到了 ——> joox_皆可...
2020-08-13 10:54:34 INFO     正在kugou中搜索 ——> 有些...
2020-08-13 10:54:36 INFO     正在kuwo中搜索 ——> 有些...
2020-08-13 10:54:37 INFO     正在netease中搜索 ——> 有些...
2020-08-13 10:55:05 INFO     正在qq中搜索 ——> 有些...
2020-08-13 10:55:07 INFO     正在migu中搜索 ——> 有些...
2020-08-13 10:55:07 INFO     正在xiami中搜索 ——> 有些...
2020-08-13 10:55:07 INFO     正在joox中搜索 ——> 有些...
2020-08-13 10:55:27 INFO     正在从netease下载 ——> netease_有些...
2020-08-13 10:55:29 INFO     成功从netease下载到了 ——> netease_有些...
2020-08-13 10:55:36 INFO     正在kugou中搜索 ——> 嗜好...
2020-08-13 10:55:38 INFO     正在kuwo中搜索 ——> 嗜好...
2020-08-13 10:55:38 INFO     正在netease中搜索 ——> 嗜好...
2020-08-13 10:56:01 INFO     正在qq中搜索 ——> 嗜好...
2020-08-13 10:56:03 INFO     正在migu中搜索 ——> 嗜好...
2020-08-13 10:56:03 INFO     正在xiami中搜索 ——> 嗜好...
2020-08-13 10:56:03 INFO     正在joox中搜索 ——> 嗜好...
2020-08-13 10:56:59 INFO     正在从netease下载 ——> netease_嗜好...
2020-08-13 10:57:03 INFO     成功从netease下载到了 ——> netease_嗜好...
2020-08-13 10:57:12 INFO     正在kugou中搜索 ——> waiting for you...
2020-08-13 10:57:13 INFO     正在kuwo中搜索 ——> waiting for you...
2020-08-13 10:57:14 INFO     正在netease中搜索 ——> waiting for you...
2020-08-13 10:57:26 WARNING  无法在netease中搜索 ——> waiting for you...
2020-08-13 10:57:26 INFO     正在qq中搜索 ——> waiting for you...
2020-08-13 10:57:26 WARNING  无法在qq中搜索 ——> waiting for you...
2020-08-13 10:57:26 INFO     正在migu中搜索 ——> waiting for you...
2020-08-13 10:57:26 INFO     正在xiami中搜索 ——> waiting for you...
2020-08-13 10:57:27 INFO     正在joox中搜索 ——> waiting for you...
2020-08-13 10:57:27 WARNING  无法在joox中搜索 ——> waiting for you...
2020-08-13 10:58:29 INFO     正在kugou中搜索 ——> 嚣张...
2020-08-13 10:58:30 INFO     正在kuwo中搜索 ——> 嚣张...
2020-08-13 10:58:31 INFO     正在netease中搜索 ——> 嚣张...
2020-08-13 10:59:04 INFO     正在qq中搜索 ——> 嚣张...
2020-08-13 10:59:06 INFO     正在migu中搜索 ——> 嚣张...
2020-08-13 10:59:06 INFO     正在xiami中搜索 ——> 嚣张...
2020-08-13 10:59:06 INFO     正在joox中搜索 ——> 嚣张...
2020-08-13 10:59:44 INFO     正在从kugou下载 ——> kugou_嚣张...
2020-08-13 10:59:46 INFO     成功从kugou下载到了 ——> kugou_嚣张...
2020-08-13 10:59:59 INFO     正在kugou中搜索 ——> 晋江...
2020-08-13 11:00:01 INFO     正在kuwo中搜索 ——> 晋江...
2020-08-13 11:00:01 INFO     正在netease中搜索 ——> 晋江...
2020-08-13 11:00:29 INFO     正在qq中搜索 ——> 晋江...
2020-08-13 11:00:30 WARNING  无法在qq中搜索 ——> 晋江...
2020-08-13 11:00:30 INFO     正在migu中搜索 ——> 晋江...
2020-08-13 11:00:30 INFO     正在xiami中搜索 ——> 晋江...
2020-08-13 11:00:31 INFO     正在joox中搜索 ——> 晋江...
2020-08-13 11:00:31 WARNING  无法在joox中搜索 ——> 晋江...
2020-08-13 11:00:59 INFO     正在从kugou下载 ——> kugou_晋江...
2020-08-13 11:01:01 INFO     成功从kugou下载到了 ——> kugou_晋江...
2020-08-13 11:01:25 INFO     正在kugou中搜索 ——> 0...
2020-08-13 11:01:26 INFO     正在kuwo中搜索 ——> 0...
2020-08-13 11:01:27 INFO     正在netease中搜索 ——> 0...
2020-08-13 11:01:28 WARNING  无法在netease中搜索 ——> 0...
2020-08-13 11:01:28 INFO     正在qq中搜索 ——> 0...
2020-08-13 11:01:30 INFO     正在migu中搜索 ——> 0...
2020-08-13 11:01:30 WARNING  无法在migu中搜索 ——> 0...
2020-08-13 11:01:30 INFO     正在xiami中搜索 ——> 0...
2020-08-13 11:01:30 INFO     正在joox中搜索 ——> 0...
2020-08-13 11:01:41 INFO     正在kugou中搜索 ——> 晋江...
2020-08-13 11:01:41 INFO     正在kuwo中搜索 ——> 晋江...
2020-08-13 11:01:45 INFO     正在netease中搜索 ——> 晋江...
